port,protocol,banner_text,service_label
3306,tcp,pop3 service ready,pop3
22,tcp,Dropbear SSH,ssh
3306,tcp,imap service ready,imap
3306,tcp,ismaster,mongodb
80,tcp,Apache/2.4.41,http
3306,tcp,smtp service ready,smtp
3306,tcp,imap service ready,imap
80,tcp,https service ready,https
3306,tcp,MariaDB 10.6,mysql
3306,tcp,dns service ready,dns
3306,tcp,smb service ready,smb
21,tcp,Pure-FTPd,ftp
80,tcp,https service ready,https
3306,tcp,MongoDB 6.0,mongodb
3306,tcp,smb service ready,smb
3306,tcp,smtp service ready,smtp
3306,tcp,smb service ready,smb
3306,tcp,pop3 service ready,pop3
3306,tcp,MongoDB 6.0,mongodb
80,tcp,Microsoft-IIS/10.0,http
3306,tcp,smtp service ready,smtp
3306,tcp,MySQL 5.7.38,mysql
3306,tcp,imap service ready,imap
3306,tcp,pop3 service ready,pop3
3306,tcp,dns service ready,dns
3306,tcp,imap service ready,imap
3306,tcp,postgresql service ready,postgresql
3306,tcp,rdp service ready,rdp
3306,tcp,pop3 service ready,pop3
3306,tcp,imap service ready,imap
22,tcp,Dropbear SSH,ssh
3306,tcp,+OK,redis
80,tcp,https service ready,https
3306,tcp,+OK,redis
3306,tcp,smtp service ready,smtp
21,tcp,ProFTPD 1.3.5,ftp
3306,tcp,+OK,redis
3306,tcp,MariaDB 10.6,mysql
3306,tcp,postgresql service ready,postgresql
3306,tcp,smtp service ready,smtp
3306,tcp,rdp service ready,rdp
80,tcp,nginx/1.18.0,http
3306,tcp,smtp service ready,smtp
80,tcp,Microsoft-IIS/10.0,http
3306,tcp,rdp service ready,rdp
3306,tcp,smtp service ready,smtp
3306,tcp,rdp service ready,rdp
3306,tcp,ismaster,mongodb
3306,tcp,MySQL 8.0.28,mysql
80,tcp,Microsoft-IIS/10.0,http
80,tcp,https service ready,https
3306,tcp,MongoDB 6.0,mongodb
3306,tcp,Redis server v=7.0.4,redis
3306,tcp,rdp service ready,rdp
3306,tcp,ismaster,mongodb
3306,tcp,+OK,redis
3306,tcp,postgresql service ready,postgresql
3306,tcp,smb service ready,smb
3306,tcp,+OK,redis
3306,tcp,MySQL 5.7.38,mysql
80,tcp,https service ready,https
3306,tcp,smb service ready,smb
80,tcp,https service ready,https
80,tcp,nginx/1.18.0,http
3306,tcp,imap service ready,imap
3306,tcp,smb service ready,smb
3306,tcp,smb service ready,smb
3306,tcp,ismaster,mongodb
3306,tcp,dns service ready,dns
21,tcp,Pure-FTPd,ftp
3306,tcp,ismaster,mongodb
3306,tcp,dns service ready,dns
3306,tcp,imap service ready,imap
3306,tcp,smtp service ready,smtp
80,tcp,https service ready,https
3306,tcp,dns service ready,dns
80,tcp,https service ready,https
3306,tcp,Redis server v=7.0.4,redis
80,tcp,nginx/1.18.0,http
80,tcp,nginx/1.18.0,http
21,tcp,Pure-FTPd,ftp
80,tcp,https service ready,https
3306,tcp,pop3 service ready,pop3
3306,tcp,pop3 service ready,pop3
21,tcp,Pure-FTPd,ftp
3306,tcp,smtp service ready,smtp
21,tcp,Pure-FTPd,ftp
3306,tcp,smtp service ready,smtp
3306,tcp,rdp service ready,rdp
3306,tcp,pop3 service ready,pop3
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,imap service ready,imap
22,tcp,OpenSSH_8.2p1,ssh
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,pop3 service ready,pop3
3306,tcp,Redis server v=7.0.4,redis
22,tcp,Dropbear SSH,ssh
3306,tcp,+OK,redis
3306,tcp,+OK,redis
3306,tcp,smtp service ready,smtp
3306,tcp,rdp service ready,rdp
3306,tcp,smtp service ready,smtp
3306,tcp,rdp service ready,rdp
3306,tcp,imap service ready,imap
3306,tcp,dns service ready,dns
3306,tcp,smtp service ready,smtp
3306,tcp,smtp service ready,smtp
80,tcp,https service ready,https
21,tcp,Pure-FTPd,ftp
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,postgresql service ready,postgresql
22,tcp,Dropbear SSH,ssh
80,tcp,Microsoft-IIS/10.0,http
3306,tcp,smtp service ready,smtp
3306,tcp,pop3 service ready,pop3
3306,tcp,smtp service ready,smtp
3306,tcp,dns service ready,dns
80,tcp,nginx/1.18.0,http
3306,tcp,rdp service ready,rdp
3306,tcp,smb service ready,smb
3306,tcp,Redis server v=7.0.4,redis
22,tcp,OpenSSH_7.4p1,ssh
3306,tcp,rdp service ready,rdp
3306,tcp,+OK,redis
3306,tcp,pop3 service ready,pop3
80,tcp,LiteSpeed httpd,http
80,tcp,https service ready,https
22,tcp,Dropbear SSH,ssh
21,tcp,Pure-FTPd,ftp
3306,tcp,postgresql service ready,postgresql
3306,tcp,imap service ready,imap
21,tcp,ProFTPD 1.3.5,ftp
3306,tcp,+OK,redis
3306,tcp,dns service ready,dns
21,tcp,ProFTPD 1.3.5,ftp
22,tcp,OpenSSH_7.4p1,ssh
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,dns service ready,dns
3306,tcp,smtp service ready,smtp
3306,tcp,pop3 service ready,pop3
22,tcp,OpenSSH_7.4p1,ssh
3306,tcp,MySQL 5.7.38,mysql
80,tcp,nginx/1.18.0,http
3306,tcp,smtp service ready,smtp
3306,tcp,smb service ready,smb
3306,tcp,imap service ready,imap
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,imap service ready,imap
3306,tcp,MySQL 5.7.38,mysql
3306,tcp,imap service ready,imap
3306,tcp,rdp service ready,rdp
3306,tcp,imap service ready,imap
80,tcp,LiteSpeed httpd,http
3306,tcp,rdp service ready,rdp
3306,tcp,rdp service ready,rdp
3306,tcp,MySQL 5.7.38,mysql
3306,tcp,postgresql service ready,postgresql
3306,tcp,MariaDB 10.6,mysql
3306,tcp,dns service ready,dns
80,tcp,https service ready,https
3306,tcp,imap service ready,imap
3306,tcp,dns service ready,dns
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,imap service ready,imap
22,tcp,OpenSSH_7.4p1,ssh
3306,tcp,postgresql service ready,postgresql
3306,tcp,MariaDB 10.6,mysql
3306,tcp,MariaDB 10.6,mysql
3306,tcp,MySQL 5.7.38,mysql
3306,tcp,smtp service ready,smtp
3306,tcp,MongoDB 6.0,mongodb
3306,tcp,postgresql service ready,postgresql
3306,tcp,dns service ready,dns
22,tcp,OpenSSH_8.2p1,ssh
3306,tcp,MySQL 8.0.28,mysql
22,tcp,OpenSSH_7.4p1,ssh
3306,tcp,smtp service ready,smtp
3306,tcp,pop3 service ready,pop3
22,tcp,OpenSSH_8.2p1,ssh
3306,tcp,postgresql service ready,postgresql
22,tcp,OpenSSH_7.4p1,ssh
3306,tcp,rdp service ready,rdp
3306,tcp,dns service ready,dns
22,tcp,OpenSSH_8.2p1,ssh
22,tcp,OpenSSH_7.4p1,ssh
3306,tcp,ismaster,mongodb
80,tcp,https service ready,https
22,tcp,Dropbear SSH,ssh
22,tcp,OpenSSH_8.2p1,ssh
3306,tcp,ismaster,mongodb
3306,tcp,imap service ready,imap
22,tcp,OpenSSH_8.2p1,ssh
21,tcp,ProFTPD 1.3.5,ftp
3306,tcp,ismaster,mongodb
80,tcp,LiteSpeed httpd,http
3306,tcp,smb service ready,smb
3306,tcp,postgresql service ready,postgresql
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,pop3 service ready,pop3
3306,tcp,MySQL 5.7.38,mysql
3306,tcp,smtp service ready,smtp
3306,tcp,smb service ready,smb
3306,tcp,pop3 service ready,pop3
3306,tcp,dns service ready,dns
3306,tcp,smtp service ready,smtp
3306,tcp,postgresql service ready,postgresql
3306,tcp,rdp service ready,rdp
3306,tcp,postgresql service ready,postgresql
3306,tcp,imap service ready,imap
3306,tcp,imap service ready,imap
3306,tcp,smtp service ready,smtp
80,tcp,nginx/1.18.0,http
3306,tcp,rdp service ready,rdp
3306,tcp,postgresql service ready,postgresql
80,tcp,https service ready,https
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,MongoDB 6.0,mongodb
3306,tcp,smtp service ready,smtp
3306,tcp,pop3 service ready,pop3
3306,tcp,smtp service ready,smtp
3306,tcp,postgresql service ready,postgresql
3306,tcp,Redis server v=7.0.4,redis
3306,tcp,smb service ready,smb
3306,tcp,smtp service ready,smtp
3306,tcp,postgresql service ready,postgresql
3306,tcp,MySQL 8.0.28,mysql
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,imap service ready,imap
21,tcp,ProFTPD 1.3.5,ftp
3306,tcp,pop3 service ready,pop3
3306,tcp,Redis server v=7.0.4,redis
3306,tcp,+OK,redis
3306,tcp,imap service ready,imap
3306,tcp,imap service ready,imap
22,tcp,OpenSSH_7.4p1,ssh
3306,tcp,postgresql service ready,postgresql
3306,tcp,imap service ready,imap
21,tcp,ProFTPD 1.3.5,ftp
3306,tcp,dns service ready,dns
3306,tcp,MongoDB 6.0,mongodb
3306,tcp,smtp service ready,smtp
3306,tcp,smb service ready,smb
3306,tcp,imap service ready,imap
22,tcp,OpenSSH_7.4p1,ssh
3306,tcp,Redis server v=7.0.4,redis
22,tcp,OpenSSH_7.4p1,ssh
3306,tcp,postgresql service ready,postgresql
3306,tcp,MySQL 5.7.38,mysql
3306,tcp,imap service ready,imap
3306,tcp,Redis server v=7.0.4,redis
80,tcp,Microsoft-IIS/10.0,http
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,smtp service ready,smtp
80,tcp,Apache/2.4.41,http
80,tcp,LiteSpeed httpd,http
3306,tcp,ismaster,mongodb
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,pop3 service ready,pop3
80,tcp,https service ready,https
3306,tcp,smb service ready,smb
3306,tcp,smtp service ready,smtp
3306,tcp,postgresql service ready,postgresql
3306,tcp,+OK,redis
3306,tcp,postgresql service ready,postgresql
22,tcp,OpenSSH_8.2p1,ssh
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,MySQL 5.7.38,mysql
22,tcp,Dropbear SSH,ssh
21,tcp,ProFTPD 1.3.5,ftp
3306,tcp,imap service ready,imap
22,tcp,OpenSSH_8.2p1,ssh
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,ismaster,mongodb
3306,tcp,ismaster,mongodb
3306,tcp,+OK,redis
80,tcp,https service ready,https
3306,tcp,smtp service ready,smtp
21,tcp,ProFTPD 1.3.5,ftp
3306,tcp,postgresql service ready,postgresql
3306,tcp,rdp service ready,rdp
3306,tcp,dns service ready,dns
3306,tcp,rdp service ready,rdp
3306,tcp,smb service ready,smb
3306,tcp,smtp service ready,smtp
3306,tcp,dns service ready,dns
80,tcp,LiteSpeed httpd,http
3306,tcp,+OK,redis
3306,tcp,+OK,redis
3306,tcp,dns service ready,dns
3306,tcp,rdp service ready,rdp
3306,tcp,MariaDB 10.6,mysql
3306,tcp,rdp service ready,rdp
80,tcp,Apache/2.4.41,http
3306,tcp,rdp service ready,rdp
80,tcp,https service ready,https
3306,tcp,dns service ready,dns
3306,tcp,+OK,redis
3306,tcp,rdp service ready,rdp
3306,tcp,imap service ready,imap
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,dns service ready,dns
3306,tcp,pop3 service ready,pop3
3306,tcp,smtp service ready,smtp
3306,tcp,dns service ready,dns
3306,tcp,+OK,redis
80,tcp,https service ready,https
3306,tcp,+OK,redis
3306,tcp,+OK,redis
80,tcp,https service ready,https
3306,tcp,MySQL 5.7.38,mysql
3306,tcp,smb service ready,smb
3306,tcp,smb service ready,smb
3306,tcp,ismaster,mongodb
3306,tcp,smb service ready,smb
22,tcp,Dropbear SSH,ssh
3306,tcp,dns service ready,dns
80,tcp,https service ready,https
3306,tcp,smtp service ready,smtp
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,dns service ready,dns
3306,tcp,postgresql service ready,postgresql
3306,tcp,dns service ready,dns
22,tcp,Dropbear SSH,ssh
3306,tcp,postgresql service ready,postgresql
22,tcp,OpenSSH_8.2p1,ssh
3306,tcp,rdp service ready,rdp
3306,tcp,Redis server v=7.0.4,redis
3306,tcp,pop3 service ready,pop3
3306,tcp,pop3 service ready,pop3
3306,tcp,pop3 service ready,pop3
21,tcp,Pure-FTPd,ftp
3306,tcp,postgresql service ready,postgresql
3306,tcp,rdp service ready,rdp
3306,tcp,postgresql service ready,postgresql
22,tcp,Dropbear SSH,ssh
80,tcp,Apache/2.4.41,http
3306,tcp,rdp service ready,rdp
3306,tcp,smtp service ready,smtp
3306,tcp,Redis server v=7.0.4,redis
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,postgresql service ready,postgresql
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,rdp service ready,rdp
3306,tcp,smtp service ready,smtp
3306,tcp,postgresql service ready,postgresql
3306,tcp,MySQL 5.7.38,mysql
80,tcp,https service ready,https
3306,tcp,MongoDB 6.0,mongodb
3306,tcp,MySQL 5.7.38,mysql
3306,tcp,imap service ready,imap
3306,tcp,smtp service ready,smtp
3306,tcp,MySQL 5.7.38,mysql
80,tcp,nginx/1.18.0,http
3306,tcp,ismaster,mongodb
80,tcp,https service ready,https
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,MySQL 8.0.28,mysql
80,tcp,Microsoft-IIS/10.0,http
3306,tcp,smtp service ready,smtp
80,tcp,Apache/2.4.41,http
3306,tcp,MySQL 5.7.38,mysql
3306,tcp,smtp service ready,smtp
3306,tcp,pop3 service ready,pop3
3306,tcp,Redis server v=7.0.4,redis
3306,tcp,smtp service ready,smtp
3306,tcp,ismaster,mongodb
80,tcp,https service ready,https
3306,tcp,ismaster,mongodb
3306,tcp,ismaster,mongodb
3306,tcp,MySQL 5.7.38,mysql
21,tcp,Pure-FTPd,ftp
3306,tcp,ismaster,mongodb
3306,tcp,smb service ready,smb
3306,tcp,smtp service ready,smtp
3306,tcp,smtp service ready,smtp
3306,tcp,rdp service ready,rdp
3306,tcp,smb service ready,smb
80,tcp,https service ready,https
3306,tcp,postgresql service ready,postgresql
3306,tcp,imap service ready,imap
3306,tcp,smb service ready,smb
21,tcp,ProFTPD 1.3.5,ftp
3306,tcp,MongoDB 6.0,mongodb
3306,tcp,postgresql service ready,postgresql
3306,tcp,dns service ready,dns
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,+OK,redis
3306,tcp,smb service ready,smb
3306,tcp,pop3 service ready,pop3
22,tcp,OpenSSH_8.2p1,ssh
80,tcp,Apache/2.4.41,http
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,postgresql service ready,postgresql
3306,tcp,MariaDB 10.6,mysql
22,tcp,OpenSSH_7.4p1,ssh
21,tcp,Pure-FTPd,ftp
22,tcp,OpenSSH_7.4p1,ssh
21,tcp,vsftpd 3.0.3,ftp
80,tcp,https service ready,https
3306,tcp,smtp service ready,smtp
80,tcp,nginx/1.18.0,http
21,tcp,ProFTPD 1.3.5,ftp
3306,tcp,MongoDB 6.0,mongodb
3306,tcp,pop3 service ready,pop3
3306,tcp,postgresql service ready,postgresql
80,tcp,https service ready,https
3306,tcp,postgresql service ready,postgresql
3306,tcp,smtp service ready,smtp
3306,tcp,postgresql service ready,postgresql
3306,tcp,Redis server v=7.0.4,redis
3306,tcp,imap service ready,imap
3306,tcp,smb service ready,smb
80,tcp,https service ready,https
3306,tcp,ismaster,mongodb
3306,tcp,postgresql service ready,postgresql
80,tcp,https service ready,https
3306,tcp,postgresql service ready,postgresql
3306,tcp,pop3 service ready,pop3
3306,tcp,MongoDB 6.0,mongodb
3306,tcp,rdp service ready,rdp
21,tcp,Pure-FTPd,ftp
3306,tcp,dns service ready,dns
80,tcp,LiteSpeed httpd,http
3306,tcp,ismaster,mongodb
3306,tcp,ismaster,mongodb
3306,tcp,pop3 service ready,pop3
3306,tcp,imap service ready,imap
3306,tcp,smtp service ready,smtp
3306,tcp,MariaDB 10.6,mysql
3306,tcp,Redis server v=7.0.4,redis
3306,tcp,smtp service ready,smtp
3306,tcp,smtp service ready,smtp
3306,tcp,postgresql service ready,postgresql
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,smb service ready,smb
3306,tcp,Redis server v=7.0.4,redis
22,tcp,Dropbear SSH,ssh
80,tcp,https service ready,https
3306,tcp,smtp service ready,smtp
22,tcp,Dropbear SSH,ssh
3306,tcp,pop3 service ready,pop3
3306,tcp,rdp service ready,rdp
3306,tcp,smtp service ready,smtp
3306,tcp,smtp service ready,smtp
3306,tcp,ismaster,mongodb
3306,tcp,dns service ready,dns
80,tcp,Microsoft-IIS/10.0,http
3306,tcp,pop3 service ready,pop3
3306,tcp,dns service ready,dns
3306,tcp,postgresql service ready,postgresql
3306,tcp,dns service ready,dns
3306,tcp,smtp service ready,smtp
3306,tcp,smb service ready,smb
3306,tcp,smtp service ready,smtp
3306,tcp,rdp service ready,rdp
3306,tcp,pop3 service ready,pop3
3306,tcp,postgresql service ready,postgresql
3306,tcp,MariaDB 10.6,mysql
3306,tcp,imap service ready,imap
3306,tcp,rdp service ready,rdp
3306,tcp,rdp service ready,rdp
3306,tcp,pop3 service ready,pop3
3306,tcp,smtp service ready,smtp
3306,tcp,imap service ready,imap
3306,tcp,smtp service ready,smtp
3306,tcp,+OK,redis
3306,tcp,dns service ready,dns
3306,tcp,pop3 service ready,pop3
3306,tcp,dns service ready,dns
3306,tcp,dns service ready,dns
3306,tcp,imap service ready,imap
3306,tcp,rdp service ready,rdp
3306,tcp,imap service ready,imap
80,tcp,https service ready,https
3306,tcp,pop3 service ready,pop3
3306,tcp,MongoDB 6.0,mongodb
80,tcp,https service ready,https
3306,tcp,MariaDB 10.6,mysql
21,tcp,vsftpd 3.0.3,ftp
22,tcp,OpenSSH_7.4p1,ssh
3306,tcp,MySQL 5.7.38,mysql
22,tcp,OpenSSH_7.4p1,ssh
21,tcp,ProFTPD 1.3.5,ftp
3306,tcp,+OK,redis
3306,tcp,dns service ready,dns
3306,tcp,imap service ready,imap
80,tcp,https service ready,https
3306,tcp,smtp service ready,smtp
3306,tcp,imap service ready,imap
3306,tcp,pop3 service ready,pop3
3306,tcp,rdp service ready,rdp
22,tcp,Dropbear SSH,ssh
22,tcp,OpenSSH_7.4p1,ssh
80,tcp,https service ready,https
3306,tcp,smtp service ready,smtp
80,tcp,LiteSpeed httpd,http
80,tcp,Microsoft-IIS/10.0,http
3306,tcp,postgresql service ready,postgresql
3306,tcp,smtp service ready,smtp
22,tcp,OpenSSH_8.2p1,ssh
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,smtp service ready,smtp
3306,tcp,imap service ready,imap
3306,tcp,dns service ready,dns
22,tcp,OpenSSH_7.4p1,ssh
3306,tcp,dns service ready,dns
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,MariaDB 10.6,mysql
3306,tcp,postgresql service ready,postgresql
3306,tcp,smtp service ready,smtp
3306,tcp,smb service ready,smb
22,tcp,OpenSSH_7.4p1,ssh
3306,tcp,rdp service ready,rdp
3306,tcp,ismaster,mongodb
3306,tcp,smb service ready,smb
3306,tcp,imap service ready,imap
3306,tcp,smb service ready,smb
3306,tcp,pop3 service ready,pop3
3306,tcp,rdp service ready,rdp
3306,tcp,+OK,redis
3306,tcp,MongoDB 6.0,mongodb
80,tcp,https service ready,https
3306,tcp,imap service ready,imap
80,tcp,Microsoft-IIS/10.0,http
3306,tcp,ismaster,mongodb
3306,tcp,MongoDB 6.0,mongodb
3306,tcp,rdp service ready,rdp
22,tcp,OpenSSH_7.4p1,ssh
3306,tcp,imap service ready,imap
80,tcp,https service ready,https
22,tcp,OpenSSH_7.4p1,ssh
80,tcp,https service ready,https
80,tcp,https service ready,https
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,ismaster,mongodb
3306,tcp,pop3 service ready,pop3
21,tcp,ProFTPD 1.3.5,ftp
80,tcp,Apache/2.4.41,http
3306,tcp,smtp service ready,smtp
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,dns service ready,dns
80,tcp,https service ready,https
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,MariaDB 10.6,mysql
80,tcp,Microsoft-IIS/10.0,http
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,rdp service ready,rdp
3306,tcp,smtp service ready,smtp
22,tcp,Dropbear SSH,ssh
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,smtp service ready,smtp
80,tcp,https service ready,https
3306,tcp,MongoDB 6.0,mongodb
3306,tcp,imap service ready,imap
3306,tcp,postgresql service ready,postgresql
3306,tcp,smb service ready,smb
3306,tcp,imap service ready,imap
3306,tcp,dns service ready,dns
3306,tcp,Redis server v=7.0.4,redis
3306,tcp,imap service ready,imap
3306,tcp,MySQL 5.7.38,mysql
3306,tcp,pop3 service ready,pop3
3306,tcp,pop3 service ready,pop3
3306,tcp,rdp service ready,rdp
22,tcp,OpenSSH_8.2p1,ssh
3306,tcp,smb service ready,smb
3306,tcp,postgresql service ready,postgresql
3306,tcp,pop3 service ready,pop3
21,tcp,ProFTPD 1.3.5,ftp
3306,tcp,imap service ready,imap
22,tcp,OpenSSH_8.2p1,ssh
3306,tcp,MongoDB 6.0,mongodb
3306,tcp,imap service ready,imap
80,tcp,https service ready,https
3306,tcp,+OK,redis
80,tcp,https service ready,https
3306,tcp,rdp service ready,rdp
3306,tcp,smtp service ready,smtp
3306,tcp,rdp service ready,rdp
3306,tcp,smb service ready,smb
3306,tcp,imap service ready,imap
3306,tcp,imap service ready,imap
3306,tcp,+OK,redis
80,tcp,nginx/1.18.0,http
3306,tcp,ismaster,mongodb
3306,tcp,postgresql service ready,postgresql
3306,tcp,smtp service ready,smtp
80,tcp,https service ready,https
3306,tcp,imap service ready,imap
3306,tcp,postgresql service ready,postgresql
21,tcp,Pure-FTPd,ftp
22,tcp,Dropbear SSH,ssh
80,tcp,Microsoft-IIS/10.0,http
22,tcp,OpenSSH_8.2p1,ssh
3306,tcp,smtp service ready,smtp
3306,tcp,smtp service ready,smtp
3306,tcp,+OK,redis
3306,tcp,MariaDB 10.6,mysql
22,tcp,Dropbear SSH,ssh
3306,tcp,smtp service ready,smtp
3306,tcp,postgresql service ready,postgresql
3306,tcp,pop3 service ready,pop3
80,tcp,https service ready,https
3306,tcp,smb service ready,smb
3306,tcp,imap service ready,imap
3306,tcp,postgresql service ready,postgresql
3306,tcp,imap service ready,imap
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,imap service ready,imap
3306,tcp,MySQL 8.0.28,mysql
3306,tcp,rdp service ready,rdp
80,tcp,Microsoft-IIS/10.0,http
3306,tcp,postgresql service ready,postgresql
3306,tcp,pop3 service ready,pop3
3306,tcp,ismaster,mongodb
3306,tcp,dns service ready,dns
3306,tcp,rdp service ready,rdp
80,tcp,https service ready,https
21,tcp,ProFTPD 1.3.5,ftp
80,tcp,LiteSpeed httpd,http
3306,tcp,pop3 service ready,pop3
21,tcp,vsftpd 3.0.3,ftp
80,tcp,https service ready,https
3306,tcp,pop3 service ready,pop3
3306,tcp,smtp service ready,smtp
3306,tcp,rdp service ready,rdp
80,tcp,https service ready,https
22,tcp,Dropbear SSH,ssh
3306,tcp,+OK,redis
3306,tcp,pop3 service ready,pop3
80,tcp,Microsoft-IIS/10.0,http
3306,tcp,dns service ready,dns
22,tcp,Dropbear SSH,ssh
3306,tcp,dns service ready,dns
3306,tcp,rdp service ready,rdp
3306,tcp,smtp service ready,smtp
3306,tcp,rdp service ready,rdp
3306,tcp,postgresql service ready,postgresql
80,tcp,LiteSpeed httpd,http
3306,tcp,pop3 service ready,pop3
3306,tcp,MySQL 5.7.38,mysql
3306,tcp,pop3 service ready,pop3
3306,tcp,Redis server v=7.0.4,redis
3306,tcp,rdp service ready,rdp
3306,tcp,postgresql service ready,postgresql
3306,tcp,dns service ready,dns
80,tcp,nginx/1.18.0,http
3306,tcp,dns service ready,dns
80,tcp,Apache/2.4.41,http
3306,tcp,imap service ready,imap
3306,tcp,rdp service ready,rdp
3306,tcp,smtp service ready,smtp
3306,tcp,imap service ready,imap
3306,tcp,ismaster,mongodb
3306,tcp,smb service ready,smb
3306,tcp,ismaster,mongodb
3306,tcp,rdp service ready,rdp
80,tcp,https service ready,https
3306,tcp,imap service ready,imap
3306,tcp,+OK,redis
3306,tcp,dns service ready,dns
80,tcp,Apache/2.4.41,http
3306,tcp,rdp service ready,rdp
21,tcp,ProFTPD 1.3.5,ftp
3306,tcp,MySQL 8.0.28,mysql
80,tcp,Microsoft-IIS/10.0,http
3306,tcp,smb service ready,smb
3306,tcp,imap service ready,imap
3306,tcp,pop3 service ready,pop3
3306,tcp,rdp service ready,rdp
22,tcp,OpenSSH_8.2p1,ssh
3306,tcp,pop3 service ready,pop3
3306,tcp,smb service ready,smb
3306,tcp,pop3 service ready,pop3
22,tcp,OpenSSH_7.4p1,ssh
3306,tcp,smtp service ready,smtp
3306,tcp,ismaster,mongodb
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,MariaDB 10.6,mysql
3306,tcp,postgresql service ready,postgresql
3306,tcp,rdp service ready,rdp
80,tcp,https service ready,https
3306,tcp,postgresql service ready,postgresql
22,tcp,OpenSSH_8.2p1,ssh
80,tcp,Apache/2.4.41,http
22,tcp,Dropbear SSH,ssh
3306,tcp,rdp service ready,rdp
3306,tcp,+OK,redis
3306,tcp,pop3 service ready,pop3
3306,tcp,smb service ready,smb
3306,tcp,ismaster,mongodb
3306,tcp,ismaster,mongodb
3306,tcp,smtp service ready,smtp
3306,tcp,imap service ready,imap
3306,tcp,dns service ready,dns
3306,tcp,rdp service ready,rdp
21,tcp,Pure-FTPd,ftp
3306,tcp,postgresql service ready,postgresql
3306,tcp,smb service ready,smb
80,tcp,nginx/1.18.0,http
3306,tcp,Redis server v=7.0.4,redis
80,tcp,Apache/2.4.41,http
3306,tcp,smb service ready,smb
3306,tcp,smtp service ready,smtp
3306,tcp,postgresql service ready,postgresql
3306,tcp,imap service ready,imap
3306,tcp,imap service ready,imap
3306,tcp,Redis server v=7.0.4,redis
3306,tcp,dns service ready,dns
80,tcp,nginx/1.18.0,http
3306,tcp,smb service ready,smb
21,tcp,ProFTPD 1.3.5,ftp
3306,tcp,Redis server v=7.0.4,redis
3306,tcp,+OK,redis
3306,tcp,imap service ready,imap
3306,tcp,imap service ready,imap
3306,tcp,rdp service ready,rdp
3306,tcp,ismaster,mongodb
3306,tcp,smtp service ready,smtp
3306,tcp,smtp service ready,smtp
3306,tcp,pop3 service ready,pop3
80,tcp,Microsoft-IIS/10.0,http
80,tcp,https service ready,https
80,tcp,nginx/1.18.0,http
80,tcp,nginx/1.18.0,http
80,tcp,Microsoft-IIS/10.0,http
3306,tcp,Redis server v=7.0.4,redis
22,tcp,Dropbear SSH,ssh
3306,tcp,Redis server v=7.0.4,redis
21,tcp,Pure-FTPd,ftp
3306,tcp,pop3 service ready,pop3
3306,tcp,smtp service ready,smtp
3306,tcp,postgresql service ready,postgresql
3306,tcp,postgresql service ready,postgresql
3306,tcp,smb service ready,smb
3306,tcp,dns service ready,dns
80,tcp,nginx/1.18.0,http
21,tcp,Pure-FTPd,ftp
3306,tcp,dns service ready,dns
3306,tcp,Redis server v=7.0.4,redis
21,tcp,vsftpd 3.0.3,ftp
3306,tcp,dns service ready,dns
22,tcp,OpenSSH_8.2p1,ssh
3306,tcp,smb service ready,smb
3306,tcp,postgresql service ready,postgresql
3306,tcp,smtp service ready,smtp
21,tcp,vsftpd 3.0.3,ftp
21,tcp,ProFTPD 1.3.5,ftp
80,tcp,https service ready,https
80,tcp,https service ready,https
22,tcp,OpenSSH_7.4p1,ssh
22,tcp,OpenSSH_8.2p1,ssh
3306,tcp,smtp service ready,smtp
3306,tcp,+OK,redis
3306,tcp,dns service ready,dns
3306,tcp,postgresql service ready,postgresql
3306,tcp,rdp service ready,rdp
3306,tcp,rdp service ready,rdp
3306,tcp,MySQL 5.7.38,mysql
3306,tcp,dns service ready,dns
3306,tcp,imap service ready,imap
3306,tcp,smb service ready,smb
